Regione;Anno;Presenze
Piemonte;2008;220757
Piemonte;2009;218200
Piemonte;2010;242608
Piemonte;2011;278578
Valle d'Aosta;2008;27256
Valle d'Aosta;2009;25241
Valle d'Aosta;2010;25518
Valle d'Aosta;2011;28637
Lombardia;2008;284722
Lombardia;2009;307457
Lombardia;2010;316099
Lombardia;2011;371739
Trentino-Alto Adige;2008;1902581
Trentino-Alto Adige;2009;2033829
Trentino-Alto Adige;2010;2145786
Trentino-Alto Adige;2011;2238349
Veneto;2008;434831
Veneto;2009;469750
Veneto;2010;532419
Veneto;2011;587898
Friuli-Venezia Giulia;2008;117926
Friuli-Venezia Giulia;2009;127497
Friuli-Venezia Giulia;2010;154621
Friuli-Venezia Giulia;2011;175888
Liguria;2008;134017
Liguria;2009;182439
Liguria;2010;192891
Liguria;2011;218165
Emilia-Romagna;2008;232704
Emilia-Romagna;2009;248426
Emilia-Romagna;2010;253482
Emilia-Romagna;2011;285850
Toscana;2008;3039261
Toscana;2009;2999039
Toscana;2010;3047778
Toscana;2011;3296704
Umbria;2008;975724
Umbria;2009;944704
Umbria;2010;978534
Umbria;2011;1073334
Marche;2008;276196
Marche;2009;365051
Marche;2010;493027
Marche;2011;556402
Lazio;2008;106840
Lazio;2009;93022
Lazio;2010;123418
Lazio;2011;129977
Abruzzo;2008;115078
Abruzzo;2009;99798
Abruzzo;2010;96574
Abruzzo;2011;103188
Molise;2008;8842
Molise;2009;11646
Molise;2010;11255
Molise;2011;18135
Campania;2008;209454
Campania;2009;199377
Campania;2010;184439
Campania;2011;189157
Puglia;2008;209859
Puglia;2009;207059
Puglia;2010;247034
Puglia;2011;244963
Basilicata;2008;66997
Basilicata;2009;67404
Basilicata;2010;70356
Basilicata;2011;60527
Calabria;2008;42399
Calabria;2009;54829
Calabria;2010;55239
Calabria;2011;57782
Sicilia;2008;332550
Sicilia;2009;262461
Sicilia;2010;284973
Sicilia;2011;293410
Sardegna;2008;48099
Sardegna;2009;45174
Sardegna;2010;41449
Sardegna;2011;32483
